company,cik,ticker,fiscal_year,concept,value,source_tag,end_date,filed,accn,sec_fy
Regions Financial Corporation,0001281761,RF,2025,Equity,19103000000,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2025-12-31,2026-02-24,0001281761-26-000019,2025
Regions Financial Corporation,0001281761,RF,2024,NetIncome,1893000000,NetIncomeLoss,2024-12-31,2026-02-24,0001281761-26-000019,2025
Regions Financial Corporation,0001281761,RF,2025,NetIncome,2156000000,NetIncomeLoss,2025-12-31,2026-02-24,0001281761-26-000019,2025
KEYCORP /NEW/,0000091576,KEY,2024,Assets,187168000000,Assets,2024-12-31,2026-02-23,0001628280-26-010546,2025
KEYCORP /NEW/,0000091576,KEY,2025,Assets,184381000000,Assets,2025-12-31,2026-02-23,0001628280-26-010546,2025
KEYCORP /NEW/,0000091576,KEY,2024,Liabilities,168992000000,Liabilities,2024-12-31,2026-02-23,0001628280-26-010546,2025
KEYCORP /NEW/,0000091576,KEY,2025,Liabilities,164000000000,Liabilities,2025-12-31,2026-02-23,0001628280-26-010546,2025
KEYCORP /NEW/,0000091576,KEY,2024,Equity,18176000000,StockholdersEquity,2024-12-31,2026-02-23,0001628280-26-010546,2025
KEYCORP /NEW/,0000091576,KEY,2025,Equity,20381000000,StockholdersEquity,2025-12-31,2026-02-23,0001628280-26-010546,2025
KEYCORP /NEW/,0000091576,KEY,2024,NetIncome,-161000000,NetIncomeLoss,2024-12-31,2026-02-23,0001628280-26-010546,2025
KEYCORP /NEW/,0000091576,KEY,2025,NetIncome,1829000000,NetIncomeLoss,2025-12-31,2026-02-23,0001628280-26-010546,2025
CITIZENS FINANCIAL GROUP INC/RI,0000759944,CFG,2024,Assets,217521000000,Assets,2024-12-31,2026-02-12,0000759944-26-000028,2025
CITIZENS FINANCIAL GROUP INC/RI,0000759944,CFG,2025,Assets,226351000000,Assets,2025-12-31,2026-02-12,0000759944-26-000028,2025
CITIZENS FINANCIAL GROUP INC/RI,0000759944,CFG,2024,Liabilities,193267000000,Liabilities,2024-12-31,2026-02-12,0000759944-26-000028,2025
CITIZENS FINANCIAL GROUP INC/RI,0000759944,CFG,2025,Liabilities,200034000000,Liabilities,2025-12-31,2026-02-12,0000759944-26-000028,2025
CITIZENS FINANCIAL GROUP INC/RI,0000759944,CFG,2024,Equity,24254000000,StockholdersEquity,2024-12-31,2026-02-12,0000759944-26-000028,2025
CITIZENS FINANCIAL GROUP INC/RI,0000759944,CFG,2025,Equity,26317000000,StockholdersEquity,2025-12-31,2026-02-12,0000759944-26-000028,2025
CITIZENS FINANCIAL GROUP INC/RI,0000759944,CFG,2024,NetIncome,1509000000,NetIncomeLoss,2024-12-31,2026-02-12,0000759944-26-000028,2025
CITIZENS FINANCIAL GROUP INC/RI,0000759944,CFG,2025,NetIncome,1831000000,NetIncomeLoss,2025-12-31,2026-02-12,0000759944-26-000028,2025
"ZIONS BANCORPORATION, NATIONAL ASSOCIATION",0000109380,ZION,2024,Assets,88775000000,Assets,2024-12-31,2026-02-24,0000109380-26-000046,2025
"ZIONS BANCORPORATION, NATIONAL ASSOCIATION",0000109380,ZION,2025,Assets,88990000000,Assets,2025-12-31,2026-02-24,0000109380-26-000046,2025
"ZIONS BANCORPORATION, NATIONAL ASSOCIATION",0000109380,ZION,2024,Liabilities,82651000000,Liabilities,2024-12-31,2026-02-24,0000109380-26-000046,2025
"ZIONS BANCORPORATION, NATIONAL ASSOCIATION",0000109380,ZION,2025,Liabilities,81810000000,Liabilities,2025-12-31,2026-02-24,0000109380-26-000046,2025
"ZIONS BANCORPORATION, NATIONAL ASSOCIATION",0000109380,ZION,2024,Equity,6124000000,StockholdersEquity,2024-12-31,2026-02-24,0000109380-26-000046,2025
